x,y,z,versatility_score,score_0,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,score_26,score_27,score_28,score_29,score_30,score_31,score_32,score_33,score_34,score_35,score_36,score_37,score_38,score_39,score_40,score_41,score_42,score_43,score_44,score_45,score_46,score_47,score_48,score_49,score_50,score_51,score_52,score_53,score_54,score_55,score_56,score_57,score_58,score_59,score_60,score_61,score_62,score_63,score_64,score_65,score_66,score_67,score_68,score_69,score_70,score_71,score_72,score_73,score_74,score_75,score_76,score_77,score_78,score_79,score_80,score_81,score_82,score_83,score_84,score_85,score_86,score_87,score_88,score_89,score_90,score_91,score_92,score_93,score_94,score_95,score_96,score_97,score_98,score_99,score_100,score_101,score_102,score_103,score_104,score_105,score_106,score_107,score_108,score_109,score_110,score_111,score_112,score_113,score_114,score_115,score_116,score_117,score_118,score_119,score_120,score_121,score_122,score_123,score_124
0.55,-0.45,1.05,0.9831441476548478,0.977384378025,0.9982205069547101,0.9938826848605005,0.9962763519419648,0.9956789092249996,0.9803335453357063,0.9962726359480076,0.9794076463385502,0.9986814865961118,0.981965388404787,0.9946475858420001,0.9616227949768783,0.9950799757289999,0.9892636861012072,0.8025593256125003,0.9896335148471815,0.9915896599492855,0.9542699084813842,0.99933860503211,0.912122351467614,0.9973264398239994,0.9938817645918216,0.9912715440804998,0.9984553043548825,0.9780369063289998,0.9982205069547097,0.9938826848604996,0.9962763519419648,0.9956789092249996,0.9957731035012027,0.9845716785007079,0.9902783986097472,0.9871338305615747,0.9927589478791077,0.9838231677835061,0.9898193712319787,0.955688460831055,0.9988079859257226,0.982595179246345,0.9204972711517274,0.9805951711993,0.9755060421656776,0.9916994052439914,0.9843054659242714,0.93778266344886,0.9842413372564169,0.9973264398239994,0.9938817645918208,0.9912715440804998,0.9984553043548825,0.9938826848605005,0.9962763519419648,0.995678909225,0.9957731035012027,0.9915489464499996,0.9801532695782396,0.9990228065993547,0.9955300733324997,0.9971938256001054,0.9912278808414758,0.9984034952010001,0.9821516651520339,0.9756068353779999,0.9811244284465663,0.9627757820810001,0.9549107851726546,0.977748763335077,0.9484508088651273,0.9894324021757941,0.9995064358810255,0.9948413307805002,0.9842413372564169,0.9973264398240003,0.9938817645918216,0.9912715440804998,0.9962763519419648,0.9956789092249996,0.9957731035012027,0.9915489464499996,0.9978432855590098,0.9966724746280933,0.9982922739304678,0.9915969142668295,0.9877373896262207,0.9824404299583007,0.9936326749794715,0.991681747484324,0.9531553098660288,0.9920954516239784,0.9757584146919402,0.9986317006228238,0.9721238944780084,0.9716244562762768,0.9846166619444487,0.9853937431570103,0.9884914443406065,0.9948413307804993,0.9842413372564169,0.9973264398239994,0.9938817645918216,0.9956789092249996,0.9957731035012027,0.99154894645,0.9978432855590103,0.977384378025,0.9885415971536966,0.9787609483028861,0.9876735596209865,0.9972882519710267,0.9748293093546951,0.9933675078805002,0.9187395975432424,0.9807747599999999,0.9958536426077853,0.8784918152179999,0.9905045658577567,0.9779457698123499,0.9206813294398382,0.9996035793971647,0.9814041331044141,0.9780369063289998,0.9884914443406065,0.9948413307805002,0.9842413372564169,0.9973264398239994
0.45,-0.55,0.8500000000000001,0.9777245938245223,0.9817882175999992,0.9750158980392789,0.9934972942579998,0.9728607371804217,0.9924169408999992,0.9952405078591466,0.9982009178755722,0.9885541941818725,0.9951136370006033,0.8840608984041229,0.9962317766125002,0.9811975758265541,0.9873584091690004,0.9957064626013332,0.7556962623205001,0.9857050709799815,0.97498876092008,0.9719835792142781,0.9694800114123265,0.932225682952341,0.9960349217209994,0.9832250688472011,0.9936550403125002,0.9953454176337369,0.9865803105209996,0.9750158980392785,0.9934972942579994,0.9728607371804217,0.9924169408999992,0.9980654261546917,0.9897850137765145,0.9855507238131744,0.9932995909624114,0.9943210627707342,0.9452189557582173,0.9629790283366075,0.9680702993632821,0.9705213581778236,0.9966807866468164,0.8989344708589915,0.9847662953228795,0.9955747848893539,0.9806657695554881,0.9941821932111419,0.9414178029576612,0.9913727028353809,0.9960349217209994,0.9832250688472006,0.9936550403124997,0.9953454176337373,0.9934972942579998,0.9728607371804217,0.9924169408999997,0.9980654261546917,0.9983623353804998,0.9914468740593625,0.9895443127156225,0.9887889619375179,0.9927756519580104,0.9722470195250172,0.9761471200250003,0.9924307176515248,0.9431143539519999,0.978226144155361,0.9366090076409999,0.973779663351221,0.9780161807392636,0.9891944224213005,0.9948763872410264,0.9692870752903042,0.9837849996880004,0.9913727028353805,0.9960349217210003,0.9832250688472011,0.9936550403125002,0.9728607371804217,0.9924169408999992,0.9980654261546917,0.9983623353804998,0.9865319864712565,0.9916208006739857,0.9785419841411072,0.9974633827480435,0.991111371213172,0.9295675804515731,0.9948351009297094,0.9955047926004073,0.9708399808448922,0.993005983115236,0.9344336816526322,0.972584062393592,0.9987479185107238,0.9857228623309005,0.9639531663936851,0.9846559523377241,0.9669141797711713,0.983784999687999,0.9913727028353805,0.9960349217209994,0.9832250688472011,0.9924169408999992,0.9980654261546917,0.9983623353804998,0.986531986471257,0.9817882175999992,0.9979799167313346,0.9709824764711941,0.9816920056719689,0.992016004316302,0.8895204058749111,0.9915828746844999,0.99492155118583,0.9877418761289998,0.9977056861715952,0.7542948865645003,0.9835393223825581,0.9732103631591107,0.9611897645824157,0.9851248859466235,0.9746817292955752,0.9865803105209996,0.9669141797711709,0.9837849996879999,0.9913727028353809,0.9960349217209994
0.35000000000000003,-0.75,0.9500000000000001,0.9346463806544991,0.9596836127689998,0.9867566234508216,0.9580879092444996,0.9618625602875692,0.9922757903999992,0.9616753241886578,0.9544435512502831,0.9880006165833448,0.893661253651775,0.8030282401570816,0.9802669159404998,0.9345775390604316,0.9506787088889999,0.8818151106626901,0.38996631998450004,0.9861046173706116,0.9571364524688646,0.9896667393010039,0.8953751715748959,0.8146703576752807,0.9976571582249996,0.9941115206113016,0.9548734634319997,0.9487837339207474,0.9863801720999998,0.9867566234508216,0.9580879092444992,0.9618625602875692,0.9922757903999992,0.9819832738402541,0.9668585351002337,0.9656883869384549,0.9857562748367943,0.980756738360794,0.9081834803816644,0.9859658480495634,0.9862331887054439,0.9760149347972134,0.9228015568887935,0.6254500081428429,0.9958093410237876,0.9413727010198807,0.9811496993670403,0.9456322737705911,0.6561598526227788,0.9714872191442812,0.9976571582249996,0.9941115206113011,0.9548734634319997,0.9487837339207479,0.9580879092444996,0.9618625602875688,0.9922757904000001,0.9819832738402536,0.9847651237119999,0.9937343396656535,0.9851588564208433,0.9936500451797228,0.9864732162637797,0.7480874063227816,0.9505250785439998,0.9778161631161306,0.8877371956819999,0.992295963358589,0.662787039081,0.9896570077421003,0.9920201839670866,0.9876825091111818,0.9756670228557385,0.7594271060828333,0.9572627811280003,0.9714872191442812,0.9976571582249996,0.9941115206113011,0.9548734634320006,0.9618625602875692,0.9922757903999992,0.9819832738402536,0.9847651237119994,0.9303111984860997,0.9682051422380882,0.9402492381852512,0.9573833735698416,0.9840770171236193,0.6836270203670591,0.982225681748881,0.9818988273086693,0.9364214457354687,0.9806017822104616,0.6132251487531379,0.9712185175827373,0.9729199836168876,0.9620880910077425,0.9678685199590311,0.921793856600188,0.982115000127145,0.9572627811279999,0.9714872191442812,0.9976571582249996,0.9941115206113011,0.9922757903999992,0.9819832738402541,0.9847651237119999,0.9303111984860997,0.9596836127689998,0.9958390729583575,0.9525651584853065,0.9828966095778053,0.8615889633692817,0.5440014793245442,0.9315066785124999,0.9672864444838751,0.9570946774440001,0.8698873521089416,0.4257086204980005,0.9919437014498944,0.9696878052380002,0.9668963961299291,0.9158232582815184,0.8461772928693836,0.9863801720999998,0.982115000127145,0.9572627811279999,0.9714872191442812,0.9976571582249996
0.45,-0.65,0.45,0.6125551043298243,0.05240104995600037,0.06679769467062147,0.05691551280200047,-0.0572078217666423,0.06695719327043981,0.6775588078654313,0.7293247694233982,0.6890449590329373,0.23281010124626333,-0.2399627647435164,0.9612792485125004,0.9516488811890567,0.8919232227840002,0.7473720490291329,0.19514303151250023,0.9813169546461902,0.9677785446347833,0.9641123460014795,0.9373727076464238,0.687439158133498,0.976630729329,0.9702210833006795,0.9925509489920001,0.9856036459682658,0.798653817321,0.06679769467062102,0.05691551280200002,-0.0572078217666423,0.06695719327043981,0.16612164828182108,0.5287800754663798,0.6754739944649255,0.42214531315659,0.26042939327559145,-0.16980640908335187,0.931012480813185,0.926611600151765,0.8782589616150882,0.6816197886759991,0.15840875050509662,0.9623550320901828,0.9752167467478134,0.9871549858580706,0.87519171768457,0.6845626889463539,0.9346419394564152,0.9766307293289995,0.970221083300679,0.9925509489919988,0.9856036459682653,0.05691551280200002,-0.0572078217666423,0.06695719327044003,0.1661216482818213,-0.03147699935800008,0.6244067039471415,0.600564492467154,0.705016242335103,0.31698735677825995,-0.23473187235478943,0.9878913254759998,0.8874506914972344,0.9130071202000001,0.7232406751252665,0.3675127316489999,0.9771912412518502,0.9648212591826417,0.9688497334734085,0.9572296246027043,0.794884766667753,0.9886760744499998,0.9346419394564152,0.976630729329,0.970221083300679,0.9925509489920001,-0.057207821766641964,0.06695719327043981,0.1661216482818213,-0.03147699935800008,-0.07396311873694494,0.43642287440064353,0.7266918732201819,0.6475139644008405,0.2998095512148269,-0.12560344758784026,0.916141022583405,0.9972552666209489,0.958093125865767,0.7394436381632448,0.2644230458074852,0.9584443677745567,0.9099043967342366,0.9563614129475493,0.9110128067658272,0.8020328880907737,0.9831557779652165,0.9886760744499994,0.9346419394564152,0.9766307293289995,0.9702210833006795,0.06695719327043981,0.1661216482818213,-0.031476999357999746,-0.07396311873694528,0.0524010499559997,0.6628390164704299,0.8115905216499288,0.6333107024893208,0.25823197285469,-0.2210530769032506,0.8925337628124999,0.9800048386936735,0.9589865310439998,0.7019648661155831,0.38076585636224536,0.9481432025484273,0.8860761729995978,0.9625021489521985,0.9032250037624818,0.7880791497601156,0.798653817321,0.9831557779652174,0.9886760744499998,0.9346419394564152,0.976630729329
0.15000000000000002,-0.55,0.55,0.4754504737629967,0.5248841590439999,0.29004786165395213,0.2386100685832191,-0.07586013713473194,-0.4110711481110002,0.9059506203615282,0.7975561082084908,0.36772529487514705,-0.3272381350963359,-0.5165309158138816,0.9637140935379997,0.9302665498119247,0.4445227456890004,-0.3086910981502653,-0.05497347836800026,0.9488334020165494,0.9003278919683595,0.48717129632717815,0.13081548165473889,0.4847658355681195,0.9642751286759996,0.9587968004868002,0.6479347976045,0.7687437501984464,0.7579498191289993,0.29004786165395213,0.2386100685832191,-0.07586013713473194,-0.4110711481110002,-0.3471095738941532,0.8487535722789508,0.6702820912794891,0.08051460936435517,-0.46772317186484713,-0.28446385646577454,0.9453876453331449,0.7071604518475549,0.2182653246099926,0.10551389307537695,0.1042564819118379,0.8310485358782953,0.7664789231181541,0.7502568643979408,0.4719125795146353,0.3658259833596933,0.8984391283718856,0.9642751286759992,0.9587968004867997,0.6479347976044996,0.7687437501984469,0.2386100685832191,-0.07586013713473194,-0.411071148111,-0.3471095738941532,0.051467206718521785,0.8335663640004922,0.440594589829993,-0.25406349937891115,-0.11234683810621093,0.11467912776658484,0.9469681342439997,0.5786582350084315,0.25129872080000015,0.5097060477726902,0.6928742210250003,0.8700241696478499,0.5535542622424552,0.8601967180219909,0.7640883190384882,0.8180339761996402,0.9724137866405,0.898439128371886,0.9642751286760001,0.9587968004867997,0.6479347976045005,-0.07586013713473194,-0.4110711481110002,-0.3471095738941532,0.05146720671852201,0.31314345398103427,0.45920810103551024,-0.022955024591803652,0.04254379948822473,0.2557793818001852,0.2208926808444851,0.8362697538569257,0.4643585753802646,0.24730834041612448,0.48573946320482997,0.8314005126475621,0.8741055598684755,0.7884891725257879,0.6039739391911356,0.8448241541580772,0.9477504556452963,0.9833886405747725,0.9724137866404996,0.898439128371886,0.9642751286759992,0.9587968004868002,-0.411071148111,-0.3471095738941532,0.05146720671852245,0.31314345398103427,0.5248841590439999,0.2537687333962526,0.18628541596268855,0.6419378104979843,0.6346043034838453,0.3419084623641888,0.6940385464644996,0.6001758823694523,0.8239934058090002,0.6273969597864149,0.903653158912,0.9007031443825395,0.8012732041659218,0.8314679905800435,0.7293371700020885,0.9348802764378854,0.7579498191289993,0.9833886405747725,0.9724137866405,0.898439128371886,0.9642751286759996
0.35000000000000003,-0.75,0.8500000000000001,0.9162889455410759,0.8969084620890002,0.9871716815049687,0.9521911772004996,0.9067304126589089,0.9797052803999993,0.9763460857938757,0.9914817829859437,0.989661553352662,0.7438397360616578,0.7203446296178933,0.9965954501045,0.9907835455736371,0.9843962465960003,0.9018095890886906,0.36220551762050013,0.9535905093015176,0.9759617387369333,0.9740384640352198,0.8496051646092724,0.6307647163387533,0.9969166131289999,0.9911026123730484,0.981152613458,0.9673912312456949,0.9751322952359998,0.9871716815049683,0.9521911772004996,0.9067304126589089,0.9797052803999988,0.9803094632243754,0.9711230549469441,0.9481011726751161,0.966670824940397,0.9765380388358564,0.7748502776941675,0.9472963800324743,0.9955475422200508,0.9436284502091075,0.893033965198966,0.5359127440453013,0.9699949552708949,0.9679581557127359,0.9873977777628653,0.9490742824544114,0.6387076726105401,0.9335929888072683,0.9969166131289995,0.991102612373048,0.9811526134579995,0.9673912312456949,0.9521911772004996,0.906730412658908,0.9797052803999997,0.9803094632243754,0.9442815695680002,0.9698013134985592,0.9614452477757587,0.9896270132328542,0.952503518995905,0.7690557552780486,0.9939360366239998,0.9595936096835473,0.9361617118419998,0.9830811583404238,0.6231983063039999,0.9977578538312037,0.98957719568067,0.9608265952583634,0.9936730130607869,0.7562171639565543,0.9496074887244998,0.9335929888072683,0.9969166131290004,0.991102612373048,0.981152613458,0.9067304126589089,0.9797052803999988,0.9803094632243754,0.9442815695679994,0.8439103778109702,0.9609411548130284,0.9283257882659308,0.9623791797367125,0.9599623502091563,0.5229397604676906,0.9042749353765336,0.9333108553268872,0.9532022616115987,0.9594766603455567,0.5505184743732061,0.9640920477802375,0.9966706422863139,0.9481339426536322,0.9929476405346993,0.8418987643220133,0.9904255127943817,0.9496074887244998,0.9335929888072683,0.9969166131289995,0.9911026123730484,0.9797052803999993,0.9803094632243754,0.9442815695680002,0.8439103778109707,0.8969084620890002,0.9714398924758387,0.9591361249829304,0.9469730392323752,0.5856236496190697,0.544997988699744,0.9925749043280003,0.9331934437417033,0.9427648565610001,0.895592490381397,0.4635295241125008,0.9280566271870505,0.9644084184053547,0.9759042779346179,0.9647465322837117,0.8107574026820414,0.9751322952359998,0.9904255127943817,0.9496074887244998,0.9335929888072683,0.9969166131289999
0.15000000000000002,-0.65,0.75,0.7930065985677794,0.8425673377439995,0.44492447968050675,0.7244157763044998,0.8060498646259247,0.9168817852249995,0.9915059758008478,0.8215262454853665,0.46841292581941785,0.43124642466547725,0.3818788478229973,0.9808460799999998,0.7958924641238332,0.6243706420639998,0.6942824936138767,0.27830232328498017,0.9095847819804235,0.9480112492359445,0.8945753211929068,0.9176564260754898,0.42475685450527334,0.9334513161959994,0.9528718089000732,0.9697790341119998,0.9798083175958878,0.8964787741289992,0.4449244796805063,0.7244157763044998,0.8060498646259247,0.9168817852249991,0.5810223727175452,0.8087037407447961,0.7459629679392619,0.7612252210669108,0.5111070625376666,0.16182181575532284,0.8572453681048562,0.8252356660124087,0.5326628261050006,0.6447705294876365,0.41165720358177027,0.9886393052425411,0.9723256771673372,0.8804752582887618,0.9064800435373925,0.7512849966160147,0.958796945687578,0.9334513161959994,0.9528718089000732,0.9697790341119994,0.9798083175958874,0.7244157763044998,0.8060498646259247,0.9168817852249995,0.5810223727175448,0.5977229157804997,0.8702510504212329,0.9694368056191851,0.7838574280030581,0.6185207331165721,0.2543914678833814,0.7847249960959999,0.8146865311587681,0.6207092776180001,0.41396575818263526,0.2530093456410001,0.9198391211313495,0.882001877308151,0.8832253468022344,0.9100861901429693,0.8510927251428904,0.9173578235244999,0.958796945687578,0.9334513161959999,0.9528718089000732,0.9697790341119998,0.8060498646259251,0.9168817852249991,0.5810223727175452,0.5977229157804993,0.9736785260176819,0.9656028900244513,0.8889283303257074,0.9431039736589715,0.670969628636803,0.5971017317044671,0.9268521820273838,0.7953728767783772,0.7909655553158681,0.8182695229854877,0.5563690856984489,0.9573231150288204,0.9856529431631087,0.7536986360616742,0.9422344150819884,0.8741248651197784,0.9278697123029405,0.9173578235244995,0.958796945687578,0.9334513161959994,0.9528718089000732,0.9168817852249995,0.5810223727175454,0.5977229157804997,0.9736785260176815,0.8425673377439995,0.9119055021298588,0.8736739982675883,0.808878361792472,0.7499668871326248,0.6132047699070369,0.9729957741520001,0.6688362726711472,0.7119105599999997,0.7284747305283232,0.6201242023805003,0.9567971284544718,0.9544386807104117,0.8990431732320372,0.9679659606036317,0.8636832563390995,0.8964787741289992,0.92786971230294,0.9173578235244999,0.958796945687578,0.9334513161959994
0.35000000000000003,-0.65,0.45,0.672851346389288,0.3855785352360004,0.37994817717469376,0.2517488288901255,0.02007185674194023,0.1723843762889996,0.8867795803253191,0.9112742089051213,0.7550607071598039,0.3136437195384818,-0.19407310383890664,0.9860563881279998,0.9711076408284631,0.973347848081,0.5867330392467092,0.31943275784488057,0.9642572584369267,0.8506854877427397,0.9104146917525504,0.9209788721451699,0.8134252602941567,0.9825006081689993,0.9948058584348947,0.9880897846479999,0.9762150972756869,0.9379563310249996,0.37994817717469354,0.25174882889012506,0.02007185674194023,0.1723843762889996,0.1533128607709402,0.8451483691893817,0.8088607496488036,0.6779519869047368,0.20875015651211015,-0.19809235141894654,0.9583143249742918,0.911389121404905,0.9307236641457175,0.6914261543853808,0.2388549387857788,0.9450910276695681,0.9581076848325969,0.9888939402711376,0.8522768839956352,0.8239947528374261,0.9875611307523013,0.9825006081689993,0.9948058584348947,0.9880897846479995,0.9762150972756864,0.2517488288901255,0.020071856741940453,0.17238437628899983,0.1533128607709402,0.19102078985247983,0.7326423027530908,0.6897757192361273,0.5689846156762295,0.35299322212988615,-0.04867963334951775,0.9806621696,0.9513210428752048,0.9543040402,0.7803368112494116,0.23857534556900029,0.8713798431863555,0.9906653599004065,0.9818749297831759,0.9117980460219566,0.8017107317980054,0.9900025250124997,0.9875611307523013,0.9825006081689998,0.9948058584348947,0.9880897846479999,0.020071856741940453,0.1723843762889996,0.15331286077094042,0.1910207898524796,0.2583470291747325,0.7047613956256342,0.7954596629731143,0.7016550874355507,0.4491555218401433,-0.05220205963247637,0.9671983599370755,0.9786689770906105,0.9857632925159998,0.8016396408396693,0.4350565618624067,0.9551564998650353,0.8563401525848859,0.9434531097086929,0.9446275769955115,0.9278550382041877,0.955661531031041,0.9900025250124997,0.9875611307523013,0.9825006081689993,0.9948058584348947,0.17238437628899983,0.15331286077094042,0.19102078985248028,0.25834702917473207,0.3855785352359997,0.5765850405529476,0.7488474669853078,0.7955881680473746,0.40071089917822844,-0.1608681641498818,0.9125905106245003,0.8797698159028213,0.997668465321,0.7993539617562457,0.3878501387374451,0.9923000175211445,0.7933439803010036,0.9655531231019983,0.9440442860894878,0.8619005273531772,0.9379563310249996,0.955661531031041,0.9900025250124997,0.9875611307523013,0.9825006081689993
0.25,-0.75,0.75,0.8826684466476513,0.8730769088159998,0.8819254306627782,0.8484837812500003,0.9234146353066386,0.9439442165159997,0.9730545363833121,0.9881898796882547,0.9895763588931255,0.7714845632304936,0.5578862589717855,0.9486637236125004,0.9316089640994791,0.8577226582890003,0.8118532253980348,0.2643425769280001,0.9435067658131531,0.8917805360217015,0.9768761473765353,0.8838835981983462,0.7847948712377992,0.9745645568639998,0.9997526762048465,0.9765531252820001,0.8158184814042775,0.9297905105609996,0.8819254306627782,0.8484837812499995,0.9234146353066386,0.9439442165159992,0.9495549148674918,0.9742005314722433,0.9875768355583188,0.9323546419997837,0.8452275617328111,0.6335222472727011,0.855446221058553,0.9613543019258859,0.9583134177009525,0.8876687366028535,0.3672877274062465,0.9422467085432498,0.9935034884899416,0.8726047385825315,0.9623566100369627,0.618309693638379,0.9666401414405654,0.9745645568639993,0.9997526762048461,0.9765531252819997,0.8158184814042779,0.8484837812500003,0.9234146353066386,0.9439442165159997,0.9495549148674913,0.8046903132844996,0.9003826448877335,0.9630999469235815,0.9953112461051883,0.9395271330260506,0.6417538413045851,0.9501843201,0.8527892699878334,0.9494278003520003,0.8509159267030417,0.5024998352250001,0.9802173470961957,0.9934375910911177,0.9584740974716577,0.9639956210319678,0.911711414282143,0.987443769472,0.9666401414405645,0.9745645568640002,0.9997526762048461,0.9765531252820001,0.9234146353066386,0.9439442165159992,0.9495549148674913,0.8046903132844996,0.751375607347667,0.9495514747591149,0.9625026963026557,0.9626741395084955,0.8968985228287241,0.3589933784572359,0.9362020404875055,0.7488879653201053,0.9385269965897012,0.9305987818763457,0.5982873073597159,0.9428144239776648,0.9411645299132196,0.8964583086194033,0.9627186978387716,0.8953684416244403,0.8754903981957998,0.9874437694719995,0.9666401414405645,0.9745645568639993,0.9997526762048465,0.9439442165159997,0.9495549148674913,0.8046903132844996,0.751375607347667,0.8730769088159998,0.9705855063563984,0.8776985047083528,0.7907158160931385,0.6515159166216202,0.40164372067040666,0.9131244832000001,0.9741153090862462,0.965735790209,0.8367927096913768,0.5731353277645002,0.9414979918858293,0.9442703593187614,0.8950996180289448,0.9925939761693918,0.9059959539196476,0.9297905105609996,0.8754903981958002,0.987443769472,0.9666401414405654,0.9745645568639998
0.65,-0.55,0.65,0.7644947334905526,0.3847311485160001,0.5702622510648856,0.6115618168180001,0.30022902451141475,0.5069207394889996,0.7971021973636967,0.9384779336853366,0.9682703634849879,0.6701527435861163,0.18022191873237192,0.8792652741245,0.9852055177390897,0.9881225600639998,0.8947029022400317,0.4397940274190051,0.9095041898355705,0.9787797649621968,0.99793594176661,0.9186582538489867,0.7063262347449859,0.9123432656249997,0.9493275412343138,0.9691935521845001,0.9143715168534574,0.8661718342409996,0.5702622510648856,0.6115618168180001,0.30022902451141475,0.5069207394889996,0.5937489575453068,0.7629845191461346,0.9826706290583453,0.7872931177603932,0.6505441461748913,0.35568974164039036,0.9460120474359812,0.9879023131597651,0.9910068483490022,0.8690541793714008,0.2783784641890781,0.9566394314070239,0.9896613612859158,0.995928992936018,0.8967786065070422,0.651739249573601,0.8672555529347572,0.9123432656249992,0.9493275412343138,0.9691935521844992,0.914371516853457,0.6115618168180001,0.30022902451141475,0.5069207394890001,0.5937489575453068,0.4800004242520448,0.7892184389641119,0.8645031794255611,0.8354380525168357,0.782763991653973,0.3347774694326595,0.9375442898490001,0.9910012943481166,0.9702792435280001,0.8791208963487112,0.4841817929000001,0.9945200858835084,0.9855389906551582,0.9890504149513291,0.9846536939820472,0.7040987985574074,0.9689196956005,0.8672555529347576,0.9123432656250001,0.9493275412343138,0.9691935521845001,0.30022902451141475,0.5069207394889996,0.5937489575453068,0.48000042425204525,0.25474410191009667,0.6666076211751173,0.9034722289348103,0.966604241174176,0.6811246854628656,0.22080638915512218,0.8817356404931691,0.9841761253035142,0.9961202383315853,0.8739638258272102,0.45503121867947693,0.964649666405129,0.9969103966195287,0.983542168367634,0.9483494735176303,0.750255248996101,0.9159111492963401,0.9689196956004995,0.8672555529347576,0.9123432656249992,0.9493275412343138,0.5069207394889996,0.5937489575453068,0.48000042425204525,0.2547441019100969,0.38473114851599943,0.7486045616681283,0.9313351623020265,0.878191704767812,0.5674965639063707,-0.020739205093307733,0.8644480856125001,0.988943378867325,0.9743088202010002,0.8251500587166318,0.2886374022772451,0.9452402522635428,0.984364217693273,0.9942223247514996,0.9074828096120293,0.6893374749392447,0.8661718342409996,0.9159111492963405,0.9689196956005,0.8672555529347572,0.9123432656249997
